timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1587071689,64.941,747.07,7.812,-90.82,0,0
1587071689,66.406,264.648,12.207,-27.344,0,0
1587071689,240.234,461.914,54.199,316.895,0,0
1587071689,262.695,977.051,65.918,325.195,0,0
1587071689,106.445,857.91,24.414,17.09,0,0
1587071689,55.176,115.234,-2.441,-61.523,0,0
1587071689,187.5,-114.258,43.457,255.371,0,0
1587071689,269.043,688.477,88.379,399.902,0,0
1587071689,161.621,-936.035,50.293,108.887,0,0
1587071689,40.039,264.16,-3.418,-105.957,0,0
1587071689,136.23,54.688,31.25,121.094,0,0
1587071689,285.156,922.363,78.613,375.977,0,0
1587071689,218.75,-998.047,46.875,220.703,0,0
1587071689,42.48,415.039,9.277,-61.523,0,0
1587071689,94.727,319.824,37.598,56.152,0,0
1587071689,264.16,899.902,77.637,354.004,0,0
1587071689,261.23,950.684,41.016,287.109,0,0
1587071689,78.125,326.172,-15.137,-44.434,0,0
1587071689,22.461,-34.668,2.441,-43.945,0,0
1587071689,187.5,605.957,50.293,266.602,0,0
1587071689,267.09,-939.941,28.809,311.035,0,0
1587071689,137.207,189.941,-2.93,39.551,0,0
1587071689,3.418,-292.48,28.32,-101.562,0,0
1587071689,128.906,569.824,67.383,159.18,0,0
1587071689,282.715,-983.398,65.43,375.488,0,0
1587071689,173.34,636.719,28.32,141.602,0,0
1587071689,-10.742,375.488,22.949,-141.602,0,0
1587071689,71.777,591.797,43.945,49.805,0,0
1587071689,255.859,895.02,40.527,346.191,0,0
1587071689,217.285,710.938,0.977,202.637,0,0
1587071689,53.223,160.645,-4.883,-56.641,0,0
1587071689,65.918,89.355,23.438,39.551,0,0
1587071689,235.352,393.555,22.461,303.223,0,0
1587071689,263.672,628.418,13.184,274.414,0,0
1587071689,76.172,770.02,17.578,-47.363,0,0
1587071689,20.02,539.062,4.395,-52.246,0,0
1587071689,194.824,506.836,12.207,268.555,0,0
1587071689,283.203,804.199,22.461,339.844,0,0
1587071689,129.883,921.387,-3.906,41.992,0,0
1587071689,17.09,739.258,-10.742,-111.328,0,0
1587071689,159.18,276.367,7.324,194.336,0,0
1587071689,290.527,151.367,26.855,421.875,0,0
1587071689,187.988,693.848,40.039,158.203,0,0
1587071689,30.273,650.391,12.695,-104.98,0,0
1587071689,121.094,66.406,2.93,118.652,0,0
1587071689,291.504,396.484,41.504,407.715,0,0
1587071689,235.352,-965.332,17.578,262.695,0,0
1587071689,49.805,487.305,-45.41,-83.008,0,0
1587071689,39.062,373.535,-4.883,-0.488,0,0
1587071689,221.191,889.648,42.48,342.285,0,0
1587071689,270.508,-962.402,-3.906,321.777,0,0
1587071689,111.816,736.816,-58.594,-8.301,0,0
1587071689,45.898,367.188,-74.219,-92.285,0,0
1587071689,196.777,595.215,-50.293,198.242,0,0
1587071689,323.242,-978.027,-42.48,320.801,0,0
1587071689,230.469,550.293,-93.262,62.988,0,0
1587071689,65.43,-270.508,-93.75,-115.723,0,0
1587071689,143.066,457.52,-18.555,130.859,0,0
1587071689,328.125,-903.32,14.16,373.535,0,0
1587071689,267.09,715.332,-22.461,184.082,0,0
1587071689,83.008,400.391,-46.875,-97.168,0,0
1587071689,120.605,515.625,-4.395,58.594,0,0
1587071689,295.898,805.664,34.18,338.379,0,0
1587071689,281.738,937.012,23.926,242.188,0,0
1587071689,105.957,741.699,-8.301,-63.477,0,0
1587071689,100.098,400.879,-8.301,-11.23,0,0
1587071689,270.508,764.16,42.969,306.641,0,0
1587071689,317.871,681.641,40.039,350.098,0,0
1587071689,149.902,316.895,32.715,30.273,0,0
1587071689,48.34,860.84,60.547,-94.727,0,0
1587071689,201.172,979.492,58.105,219.238,0,0
1587071689,321.777,926.27,60.059,385.254,0,0
1587071689,222.168,952.637,49.805,132.812,0,0
1587071689,78.125,950.195,27.344,-86.914,0,0
1587071689,170.898,950.684,29.785,121.094,0,0
1587071689,333.008,956.543,57.617,373.535,0,0
1587071689,250,958.984,42.969,204.102,0,0
1587071689,76.172,566.895,16.113,-100.586,0,0
1587071689,115.723,277.832,39.551,44.922,0,0
1587071689,295.898,523.926,78.125,363.281,0,0
1587071689,296.875,926.27,96.191,268.066,0,0
1587071689,113.77,969.238,47.852,-63.965,0,0
1587071689,82.52,680.176,44.434,-40.039,0,0
1587071689,240.723,785.645,87.891,280.273,0,0
1587071689,286.621,-984.375,71.289,342.773,0,0
1587071689,135.742,946.777,8.301,43.945,0,0
1587071689,43.457,576.172,-15.625,-72.754,0,0
