timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1586465065,-165.527,-41.504,211.426,-51.758,0,0
1586465065,-155.273,-41.504,194.336,-12.207,0,0
1586465065,-167.969,-43.457,202.148,-11.719,0,0
1586465065,-183.594,-44.434,183.594,-53.711,0,0
1586465065,-176.758,-49.316,187.012,-81.055,0,0
1586465065,-180.664,-52.246,200.684,-38.574,0,0
1586465065,-180.176,-49.316,68.359,15.625,0,0
1586465065,-166.992,-46.875,-27.832,-18.555,0,0
1586465065,-160.645,-41.504,177.734,-80.078,0,0
1586465065,-164.551,-41.504,249.023,-49.805,0,0
1586465065,-159.18,-42.48,246.582,-7.324,0,0
1586465065,-161.621,-43.457,188.477,-29.297,0,0
1586465065,-176.27,-41.992,185.059,-65.918,0,0
1586465065,-160.645,-41.504,214.355,-53.223,0,0
1586465065,-156.25,-45.41,209.473,-6.348,0,0
1586465065,-162.109,-45.898,223.633,8.301,0,0
1586465065,-146.484,-42.969,161.621,-29.785,0,0
1586465065,-140.137,-41.992,61.523,-50.781,0,0
1586465065,-158.691,-40.527,85.449,-1.953,0,0
1586465065,-159.18,-40.527,132.324,23.926,0,0
1586465065,-145.02,-37.598,208.008,-32.715,0,0
1586465065,-144.043,-35.156,164.062,-76.172,0,0
1586465065,-142.09,-41.016,-139.16,-35.156,0,0
1586465065,-143.555,-38.086,103.516,4.883,0,0
1586465065,-143.555,-35.156,251.953,-11.719,0,0
1586465065,-135.254,-37.109,198.242,-38.086,0,0
1586465065,-139.16,-39.062,200.684,-32.715,0,0
1586465065,-129.883,-39.551,147.949,0.977,0,0
1586465065,-119.629,-37.598,199.707,-0.488,0,0
1586465065,-126.465,-41.504,110.352,-35.156,0,0
1586465065,-125,-40.039,124.512,-35.645,0,0
1586465065,-125,-33.203,191.406,-0.488,0,0
1586465065,-130.859,-38.086,-62.988,24.902,0,0
1586465065,-124.023,-34.18,32.715,-0.977,0,0
1586465065,-122.07,-24.902,271.973,-40.039,0,0
1586465065,-136.719,-38.574,271.484,-16.602,0,0
1586465065,-134.277,-46.387,236.816,0,0,0
1586465065,-119.629,-40.527,106.934,-24.414,0,0
1586465065,-120.605,-35.645,186.523,-36.621,0,0
1586465065,-111.328,-30.273,253.906,-9.766,0,0
1586465065,-118.164,-33.691,202.637,33.203,0,0
1586465065,-125.977,-33.203,141.602,11.23,0,0
1586465065,-141.113,-36.621,35.156,-43.945,0,0
1586465065,-143.066,-38.086,109.375,-25.391,0,0
1586465065,-136.23,-30.762,250.488,14.648,0,0
1586465065,-144.043,-29.297,251.953,15.137,0,0
1586465065,-138.672,-32.227,204.59,-32.227,0,0
1586465065,-134.277,-35.645,107.91,-37.598,0,0
1586465065,-130.859,-41.504,128.906,-2.93,0,0
1586465065,-123.047,-41.016,249.512,0.488,0,0
1586465065,-142.578,-40.039,249.512,-40.527,0,0
1586465065,-145.996,-39.551,218.262,-62.012,0,0
1586465065,-133.789,-35.645,188.965,-22.461,0,0
1586465065,-138.672,-38.086,135.742,12.695,0,0
1586465065,-143.066,-39.062,142.09,-21.484,0,0
1586465065,-153.809,-32.227,190.918,-60.547,0,0
1586465065,-160.156,-32.715,260.254,-26.855,0,0
1586465065,-146.484,-36.621,129.883,13.184,0,0
1586465065,-125,-40.527,-119.629,-5.371,0,0
1586465065,-142.578,-36.133,119.141,-62.5,0,0
1586465065,-158.691,-32.715,235.84,-59.082,0,0
1586465065,-141.602,-34.668,213.379,-6.836,0,0
1586465065,-141.602,-36.621,205.566,-9.277,0,0
1586465065,-148.926,-40.527,169.434,-35.156,0,0
1586465065,-144.043,-42.969,169.922,-54.688,0,0
1586465065,-143.555,-47.363,106.934,-23.926,0,0
1586465065,-153.32,-44.922,101.074,10.254,0,0
1586465065,-141.113,-40.527,80.078,-34.18,0,0
1586465065,-128.418,-47.852,-111.816,-45.41,0,0
1586465065,-133.789,-44.434,111.328,-1.465,0,0
1586465065,-126.953,-40.039,254.883,21.973,0,0
1586465065,-120.605,-41.504,224.609,-9.277,0,0
1586465065,-120.605,-40.527,230.957,-24.414,0,0
1586465065,-124.512,-47.852,86.426,-13.184,0,0
1586465065,-128.418,-50.781,188.965,2.93,0,0
1586465065,-123.535,-46.875,253.418,-17.578,0,0
1586465065,-108.398,-41.992,195.312,-61.523,0,0
1586465065,-120.605,-43.457,113.77,-37.598,0,0
1586465065,-132.324,-49.805,-97.168,16.602,0,0
1586465065,-135.254,-46.875,2.93,16.113,0,0
1586465065,-120.117,-42.969,198.242,-51.758,0,0
1586465065,-103.027,-43.457,185.059,-54.199,0,0
1586465065,-105.469,-40.527,208.008,1.465,0,0
1586465065,-106.934,-41.016,160.645,9.766,0,0
1586465065,-99.121,-37.598,178.711,-40.039,0,0
1586465065,-95.703,-33.203,181.152,-67.383,0,0
1586465065,-116.211,-32.227,217.773,-29.785,0,0
1586465065,-121.094,-32.715,210.938,-3.418,0,0
1586465065,-110.84,-36.621,40.039,-37.598,0,0
1586465065,-104.492,-38.574,46.875,-60.059,0,0
1586465065,-89.844,-30.762,101.074,-26.367,0,0
1586465065,-104.004,-25.879,125.488,5.859,0,0
1586465065,-109.375,-28.32,235.352,-22.461,0,0
1586465065,-89.355,-33.691,47.852,-56.152,0,0
1586465065,-91.309,-32.715,-135.254,-39.062,0,0
1586465065,-105.469,-29.785,139.16,10.254,0,0
1586465065,-95.703,-34.668,198.73,10.742,0,0
1586465065,-83.984,-33.203,166.016,-33.691,0,0
1586465065,-83.984,-34.18,114.746,-41.504,0,0
1586465065,-89.844,-35.156,159.18,-10.742,0,0
1586465065,-92.773,-32.715,231.445,6.348,0,0
1586465065,-95.215,-38.574,106.934,-27.344,0,0
1586465065,-96.191,-42.48,73.73,-59.082,0,0
1586465065,-103.516,-45.41,104.98,-16.602,0,0
1586465065,-111.816,-49.805,-110.352,25.879,0,0
1586465065,-114.746,-40.527,84.961,-19.531,0,0
1586465065,-112.793,-38.086,205.078,-56.152,0,0
1586465065,-97.168,-39.551,168.457,-33.203,0,0
1586465065,-95.215,-37.598,168.457,7.324,0,0
1586465065,-99.121,-41.016,117.188,16.113,0,0
1586465065,-90.82,-39.551,166.992,-37.109,0,0
1586465065,-79.102,-33.203,158.691,-37.598,0,0
1586465065,-73.73,-34.18,186.523,22.461,0,0
1586465065,-81.543,-38.086,78.125,33.691,0,0
1586465065,-97.168,-41.504,-88.867,0.488,0,0
1586465065,-95.215,-40.527,68.359,-24.902,0,0
1586465065,-85.449,-41.504,157.227,9.766,0,0
1586465065,-94.238,-45.41,175.781,43.945,0,0
1586465065,-95.215,-46.387,134.277,-2.93,0,0
1586465065,-82.52,-43.945,-141.113,-24.414,0,0
1586465065,-80.078,-37.598,29.297,26.855,0,0
1586465065,-87.891,-35.156,213.379,43.945,0,0
1586465065,-93.262,-37.109,138.672,7.324,0,0
1586465065,-80.078,-39.551,135.254,-26.855,0,0
1586465065,-71.777,-41.016,-35.156,-6.348,0,0
1586465065,-88.379,-40.527,0.488,29.785,0,0
1586465065,-92.773,-37.109,153.32,24.902,0,0
1586465065,-86.914,-35.645,127.93,-22.461,0,0
1586465065,-93.75,-41.016,150.391,-36.133,0,0
1586465065,-83.496,-41.992,17.09,20.996,0,0
1586465065,-92.773,-34.668,-36.133,42.48,0,0
1586465065,-98.145,-32.227,146.973,-10.742,0,0
1586465065,-98.145,-31.738,165.527,-43.457,0,0
1586465065,-91.309,-34.668,166.992,-6.836,0,0
1586465065,-86.914,-41.016,113.281,18.555,0,0
1586465065,-88.379,-41.016,124.023,-0.977,0,0
1586465065,-82.031,-42.969,142.578,-36.133,0,0
1586465065,-93.262,-42.969,94.238,-6.836,0,0
1586465065,-102.051,-39.551,125,30.273,0,0
1586465065,-94.238,-41.992,37.598,14.16,0,0
1586465065,-97.168,-40.039,-211.914,-20.02,0,0
1586465065,-102.051,-34.668,85.449,-29.785,0,0
1586465065,-83.496,-33.691,261.23,25.879,0,0
1586465065,-71.289,-34.668,190.43,37.109,0,0
1586465065,-75.195,-33.203,185.059,-13.672,0,0
1586465065,-90.82,-36.133,198.73,-34.18,0,0
1586465065,-90.332,-36.621,239.746,20.508,0,0
1586465065,-82.031,-29.785,204.102,44.922,0,0
1586465065,-72.266,-28.809,178.223,-3.906,0,0
1586465065,-85.449,-34.668,19.531,-12.207,0,0
1586465065,-96.68,-37.598,-222.656,18.066,0,0
1586465065,-94.238,-25.879,85.938,29.297,0,0
1586465065,-92.285,-21.973,234.863,-4.395,0,0
1586465065,-77.637,-27.832,141.113,-41.016,0,0
1586465065,-66.406,-31.25,104.98,-5.371,0,0
1586465065,-79.102,-31.738,74.219,28.809,0,0
1586465065,-88.867,-28.809,211.914,40.039,0,0
1586465065,-91.309,-32.715,209.961,-1.953,0,0
1586465065,-86.914,-36.133,197.754,-36.621,0,0
1586465065,-79.59,-31.738,203.613,22.949,0,0
1586465065,-73.242,-29.785,86.426,34.668,0,0
1586465065,-79.59,-31.25,85.449,-20.996,0,0
1586465065,-97.168,-29.297,88.379,-44.434,0,0
1586465065,-80.078,-26.855,140.137,-2.441,0,0
1586465065,-61.523,-32.227,239.746,23.438,0,0
1586465065,-66.895,-33.691,10.742,-1.953,0,0
1586465065,-79.102,-30.762,-0.488,-32.227,0,0
1586465065,-82.52,-32.715,220.215,-16.113,0,0
1586465065,-68.848,-31.738,251.465,28.32,0,0
1586465065,-75.684,-33.203,186.035,0.977,0,0
1586465065,-91.309,-40.527,128.906,-56.152,0,0
1586465065,-78.125,-37.109,205.566,-30.273,0,0
1586465065,-58.105,-36.133,217.773,17.578,0,0
1586465065,-69.336,-41.504,103.027,-0.977,0,0
1586465065,-91.309,-39.551,125,-42.48,0,0
1586465065,-81.055,-41.016,81.055,-36.133,0,0
1586465065,-68.359,-41.016,41.992,0.977,0,0
1586465065,-63.477,-34.668,233.887,10.742,0,0
1586465065,-64.453,-31.25,231.445,-16.602,0,0
1586465065,-71.289,-36.133,177.734,-37.109,0,0
1586465065,-71.777,-37.109,149.902,-1.465,0,0
1586465065,-69.336,-31.738,211.914,29.297,0,0
1586465065,-75.684,-34.18,202.148,-3.906,0,0
1586465065,-77.637,-35.156,183.594,-34.668,0,0
1586465065,-72.266,-26.855,164.551,5.859,0,0
1586465065,-66.895,-25.391,135.742,33.691,0,0
1586465065,-66.406,-31.738,127.441,12.695,0,0
1586465065,-69.824,-28.809,89.844,-21.484,0,0
1586465065,-75.684,-30.762,156.25,-13.184,0,0
1586465065,-81.055,-29.297,200.684,27.832,0,0
1586465065,-71.289,-28.32,121.582,1.465,0,0
1586465065,-71.777,-32.227,47.363,-37.109,0,0
1586465065,-70.312,-32.715,195.801,-32.227,0,0
1586465065,-64.453,-36.133,218.262,10.742,0,0
1586465065,-77.637,-32.227,230.957,20.996,0,0
1586465065,-77.148,-28.32,187.5,-21.973,0,0
1586465065,-75.195,-27.832,-135.254,-20.508,0,0
1586465065,-71.289,-26.855,13.672,9.766,0,0
1586465065,-63.965,-29.297,172.363,22.949,0,0
1586465065,-60.547,-27.344,170.898,-1.465,0,0
1586465065,-73.73,-28.32,82.031,-55.664,0,0
1586465065,-72.266,-37.598,-185.547,-24.414,0,0
1586465065,-73.242,-30.762,102.539,18.066,0,0
1586465065,-95.703,-26.367,252.93,-24.902,0,0
1586465065,-90.332,-30.762,177.734,-61.523,0,0
1586465065,-68.359,-30.273,183.594,-44.922,0,0
1586465065,-88.867,-34.668,85.449,7.324,0,0
1586465065,-101.074,-36.621,194.336,-2.93,0,0
1586465065,-88.867,-33.691,153.809,-61.523,0,0
1586465065,-77.148,-31.738,36.621,-60.059,0,0
1586465065,-71.777,-28.809,123.535,-15.625,0,0
1586465065,-76.172,-34.668,32.227,6.836,0,0
1586465065,-82.031,-41.992,-8.789,-21.973,0,0
1586465065,-90.82,-37.109,205.078,-53.711,0,0
1586465065,-85.449,-36.621,195.801,-22.461,0,0
1586465065,-79.102,-40.039,142.578,6.348,0,0
1586465065,-84.473,-33.691,124.512,-29.297,0,0
1586465065,-90.332,-28.809,163.574,-34.668,0,0
1586465065,-81.055,-30.273,190.918,-19.043,0,0
1586465065,-65.43,-34.18,210.449,3.906,0,0
1586465065,-72.754,-31.738,241.699,-4.883,0,0
1586465065,-79.102,-32.227,106.445,-51.758,0,0
1586465065,-77.637,-32.715,97.656,-21.973,0,0
1586465065,-78.613,-31.25,211.426,8.301,0,0
1586465065,-93.262,-35.156,198.73,-2.441,0,0
1586465065,-91.797,-37.598,213.379,-37.109,0,0
1586465065,-89.355,-29.785,62.5,-45.41,0,0
1586465065,-85.938,-30.762,-145.02,-6.836,0,0
1586465065,-86.426,-32.227,125.488,7.324,0,0
1586465065,-95.215,-34.18,156.25,-31.25,0,0
1586465065,-90.332,-34.668,63.965,-48.34,0,0
1586465065,-87.402,-33.203,159.18,-15.137,0,0
1586465065,-94.238,-33.691,128.906,15.137,0,0
1586465065,-100.586,-35.645,76.66,-6.836,0,0
1586465065,-119.141,-39.551,42.48,-37.598,0,0
1586465065,-132.324,-31.738,97.168,-18.555,0,0
1586465065,-114.258,-27.832,185.059,14.648,0,0
1586465065,-92.285,-32.227,-90.332,5.859,0,0
1586465065,-98.145,-30.762,78.613,-27.344,0,0
1586465065,-109.863,-29.297,249.512,-41.504,0,0
1586465065,-102.051,-32.715,210.938,-6.836,0,0
1586465065,-80.566,-31.25,178.711,15.137,0,0
1586465065,-95.703,-33.203,83.984,-20.996,0,0
1586465066,-115.234,-37.109,202.148,-55.664,0,0
1586465066,-118.164,-33.203,179.688,-14.648,0,0
1586465066,-115.234,-31.25,131.836,20.996,0,0
1586465066,-100.586,-33.691,93.262,-23.926,0,0
1586465066,-102.051,-39.062,-46.875,-38.086,0,0
1586465066,-100.098,-36.133,158.691,-16.602,0,0
1586465066,-89.844,-35.645,241.699,2.441,0,0
1586465066,-90.82,-39.551,181.152,-19.531,0,0
1586465066,-85.938,-39.062,165.527,-55.176,0,0
1586465066,-79.102,-41.992,-0.977,-32.227,0,0
1586465066,-85.449,-37.598,110.84,8.789,0,0
1586465066,-90.82,-30.762,215.332,1.465,0,0
1586465066,-87.891,-33.691,188.965,-41.016,0,0
1586465066,-84.961,-36.621,147.461,-27.832,0,0
1586465066,-97.656,-36.621,82.52,9.766,0,0
1586465066,-108.887,-35.645,124.512,17.09,0,0
1586465066,-85.449,-33.691,124.023,-24.414,0,0
1586465066,-77.637,-32.715,87.402,-41.992,0,0
1586465066,-87.402,-33.203,225.586,-2.441,0,0
1586465066,-89.844,-37.109,80.078,30.273,0,0
1586465066,-90.82,-39.062,-119.141,-5.859,0,0
1586465066,-81.055,-34.18,129.395,-48.34,0,0
1586465066,-75.195,-33.691,201.172,-11.23,0,0
1586465066,-93.262,-34.18,183.594,20.508,0,0
1586465066,-109.375,-37.109,150.391,-13.672,0,0
1586465066,-89.844,-41.992,121.094,-46.387,0,0
1586465066,-81.055,-41.992,70.801,-19.531,0,0
1586465066,-81.543,-40.039,112.793,12.695,0,0
1586465066,-66.406,-37.109,249.512,-8.789,0,0
1586465066,-61.523,-38.086,122.559,-43.457,0,0
1586465066,-74.707,-42.48,-162.598,-43.945,0,0
1586465066,-75.195,-39.062,92.773,-15.625,0,0
1586465066,-69.824,-37.109,181.152,-3.906,0,0
1586465066,-90.332,-38.574,168.457,-35.156,0,0
1586465066,-83.984,-38.574,174.805,-50.781,0,0
1586465066,-65.918,-37.598,181.152,-24.902,0,0
1586465066,-83.008,-28.32,238.281,2.441,0,0
1586465066,-85.449,-29.785,156.25,-28.32,0,0
1586465066,-63.965,-31.738,99.609,-57.129,0,0
1586465066,-58.594,-26.855,55.176,-39.062,0,0
1586465066,-77.148,-32.227,-95.215,0,0,0
1586465066,-73.73,-32.715,101.562,-8.301,0,0
1586465066,-73.242,-32.227,228.516,-54.688,0,0
1586465066,-65.43,-30.273,228.027,-40.527,0,0
1586465066,-62.012,-27.832,231.934,5.859,0,0
1586465066,-50.781,-30.273,-10.742,5.371,0,0
1586465066,-43.457,-24.902,122.559,-36.133,0,0
1586465066,-55.176,-25.879,168.945,-43.457,0,0
1586465066,-55.176,-31.25,189.453,11.23,0,0
1586465066,-59.082,-28.809,261.23,33.691,0,0
1586465066,-53.223,-32.227,50.293,-15.625,0,0
1586465066,-48.34,-28.809,88.867,-36.133,0,0
1586465066,-54.199,-24.414,235.84,-2.93,0,0
1586465066,-62.988,-28.32,236.328,23.438,0,0
1586465066,-52.246,-26.367,251.465,20.02,0,0
1586465066,-36.621,-27.344,161.133,-16.602,0,0
1586465066,-49.316,-27.344,213.867,-12.207,0,0
1586465066,-47.852,-23.438,288.574,29.297,0,0
1586465066,-47.852,-24.902,254.883,13.184,0,0
1586465066,-51.758,-28.32,224.121,-19.531,0,0
1586465066,-27.832,-29.785,162.598,-22.461,0,0
1586465066,-28.32,-29.297,201.172,5.859,0,0
1586465066,-50.293,-26.855,179.688,13.184,0,0
1586465066,-46.875,-28.32,118.652,-30.273,0,0
1586465066,-31.25,-32.227,168.457,-58.105,0,0
1586465066,-53.223,-32.227,130.859,-7.812,0,0
1586465066,-51.758,-27.344,32.715,50.293,0,0
1586465066,-29.785,-20.996,231.445,-2.93,0,0
1586465066,-29.785,-20.02,269.531,-31.738,0,0
1586465066,-37.598,-21.973,222.168,10.742,0,0
1586465066,-45.898,-23.438,218.262,21.973,0,0
1586465066,-56.641,-22.461,215.332,-3.906,0,0
1586465066,-53.223,-18.066,204.102,-43.945,0,0
1586465066,-36.621,-15.137,242.676,-16.113,0,0
1586465066,-46.875,-14.16,254.395,35.645,0,0
1586465066,-56.152,-15.137,143.066,17.09,0,0
1586465066,-51.27,-19.043,-17.09,-22.949,0,0
1586465066,-57.129,-17.578,150.879,-29.297,0,0
1586465066,-50.781,-14.648,264.16,8.789,0,0
1586465066,-57.617,-15.625,305.176,11.719,0,0
1586465066,-62.5,-16.113,227.539,-14.648,0,0
1586465066,-73.73,-14.16,-4.395,-41.504,0,0
1586465066,-79.59,-12.207,218.75,-5.859,0,0
1586465066,-72.754,-14.648,338.379,43.457,0,0
1586465066,-72.266,-14.16,278.32,-11.23,0,0
1586465066,-65.43,-12.695,187.012,-45.41,0,0
1586465066,-59.082,-9.277,82.52,-13.672,0,0
1586465066,-49.805,-10.254,167.48,20.508,0,0
1586465066,-65.918,-10.742,238.281,9.277,0,0
1586465066,-67.871,-8.789,276.855,-28.809,0,0
1586465066,-55.176,-14.16,242.188,-19.531,0,0
1586465066,-66.895,-20.996,95.215,23.438,0,0
1586465066,-70.801,-13.184,166.992,26.855,0,0
1586465066,-70.312,-4.883,232.91,-18.555,0,0
1586465066,-80.566,-12.695,274.414,-39.551,0,0
1586465066,-78.613,-19.043,304.688,13.672,0,0
1586465066,-64.941,-17.578,221.68,46.875,0,0
1586465066,-61.523,-15.625,240.723,-5.371,0,0
1586465066,-66.895,-19.043,185.547,-38.086,0,0
1586465066,-81.543,-22.461,176.758,-12.207,0,0
1586465066,-92.773,-19.043,308.594,4.395,0,0
1586465066,-86.426,-20.02,146.973,-18.066,0,0
1586465066,-83.496,-17.09,22.949,-42.969,0,0
1586465066,-71.289,-12.207,269.043,-25.391,0,0
1586465066,-72.266,-15.625,300.781,6.836,0,0
1586465066,-73.73,-19.043,223.633,-4.883,0,0
1586465066,-64.941,-21.484,164.551,-40.527,0,0
1586465066,-77.148,-20.02,185.059,-40.527,0,0
1586465066,-80.078,-14.648,226.074,6.348,0,0
1586465066,-70.312,-19.531,233.398,-7.812,0,0
1586465066,-84.961,-23.438,188.477,-53.223,0,0
1586465066,-91.797,-24.902,78.613,-54.199,0,0
1586465066,-106.934,-25.391,-147.461,-6.348,0,0
1586465066,-104.98,-14.648,158.691,14.648,0,0
1586465066,-94.238,-12.695,292.48,-44.922,0,0
1586465066,-86.426,-16.113,185.059,-73.73,0,0
1586465066,-82.52,-14.16,229.004,-39.551,0,0
1586465066,-82.031,-18.066,226.074,-12.207,0,0
1586465066,-86.914,-19.531,230.957,-33.203,0,0
1586465066,-79.59,-23.926,228.027,-63.477,0,0
1586465066,-75.195,-23.926,252.441,-50.781,0,0
1586465066,-83.496,-25.391,253.906,-10.254,0,0
1586465066,-87.891,-29.785,94.238,-21.973,0,0
1586465066,-102.539,-29.297,100.586,-65.43,0,0
1586465066,-102.051,-31.738,181.641,-61.523,0,0
1586465066,-83.984,-30.273,262.695,-19.043,0,0
1586465066,-81.055,-26.855,236.816,-20.508,0,0
1586465066,-85.938,-29.297,-140.137,-61.035,0,0
1586465066,-85.938,-27.832,66.406,-69.824,0,0
1586465066,-102.051,-24.902,292.48,-32.715,0,0
1586465066,-106.445,-30.762,227.051,-12.695,0,0
1586465066,-106.445,-35.156,188.965,-39.062,0,0
1586465066,-93.262,-34.18,50.781,-53.711,0,0
1586465066,-72.754,-28.809,149.902,-35.156,0,0
1586465066,-60.059,-31.25,179.688,-7.812,0,0
1586465066,-66.406,-34.668,117.676,-23.438,0,0
1586465066,-78.125,-34.668,142.09,-65.43,0,0
1586465066,-79.102,-35.156,37.598,-31.25,0,0
1586465066,-77.148,-35.156,20.02,9.766,0,0
1586465066,-94.727,-36.621,218.75,-29.785,0,0
1586465066,-102.539,-38.086,233.887,-75.684,0,0
1586465066,-86.426,-38.574,208.984,-66.406,0,0
1586465066,-87.402,-41.504,168.457,-26.367,0,0
1586465066,-84.473,-37.598,194.336,-16.113,0,0
1586465066,-87.891,-35.156,210.449,-63.965,0,0
1586465066,-90.82,-44.434,208.496,-57.129,0,0
1586465066,-100.098,-45.898,204.102,-11.719,0,0
1586465066,-104.492,-36.621,73.242,-7.324,0,0
1586465066,-100.098,-31.25,-45.41,-23.926,0,0
1586465066,-115.234,-30.762,195.801,-61.523,0,0
1586465066,-98.145,-31.25,255.371,-39.062,0,0
1586465066,-100.586,-35.156,261.23,-10.254,0,0
1586465066,-119.141,-38.086,210.938,-43.457,0,0
1586465066,-97.656,-36.621,145.508,-67.871,0,0
1586465066,-94.238,-33.203,230.469,-31.738,0,0
1586465066,-104.98,-33.203,270.02,9.277,0,0
1586465066,-104.004,-32.227,246.582,-3.418,0,0
1586465066,-93.75,-26.855,178.223,-45.41,0,0
1586465066,-84.473,-29.297,149.902,-40.527,0,0
1586465066,-86.914,-31.25,181.641,-1.465,0,0
1586465066,-94.727,-25.391,180.176,7.324,0,0
1586465066,-94.238,-25.879,241.699,-33.203,0,0
1586465066,-97.656,-31.25,206.055,-56.641,0,0
1586465066,-85.449,-35.645,-51.27,-6.836,0,0
1586465066,-86.426,-31.25,151.367,22.461,0,0
1586465066,-104.004,-32.227,285.645,-14.648,0,0
1586465066,-91.309,-31.738,231.445,-48.34,0,0
1586465066,-97.168,-31.738,223.633,-16.602,0,0
1586465066,-107.91,-41.016,115.234,37.598,0,0
1586465066,-96.68,-38.574,206.055,0,0,0
1586465066,-96.191,-34.668,123.535,-58.594,0,0
1586465066,-106.934,-33.691,114.258,-36.133,0,0
1586465066,-95.703,-31.738,211.426,10.742,0,0
1586465066,-97.656,-32.715,0.977,18.066,0,0
1586465066,-103.027,-36.133,98.633,-39.551,0,0
1586465066,-89.844,-35.156,243.164,-63.477,0,0
1586465066,-98.633,-34.668,216.797,-24.414,0,0
1586465066,-115.723,-38.086,211.914,16.113,0,0
1586465066,-116.211,-40.527,68.359,-12.207,0,0
1586465066,-103.516,-34.668,116.211,-51.758,0,0
1586465066,-98.145,-33.691,214.844,-25.391,0,0
1586465066,-83.496,-33.691,204.102,-1.953,0,0
1586465066,-83.984,-33.203,111.328,-9.277,0,0
1586465066,-93.262,-32.227,63.965,-33.203,0,0
1586465066,-92.285,-32.227,106.445,-47.852,0,0
1586465066,-98.633,-33.691,137.207,-5.371,0,0
1586465066,-102.539,-36.621,174.316,-22.949,0,0
1586465066,-94.727,-37.598,203.613,-67.383,0,0
1586465066,-87.891,-38.086,106.445,-43.945,0,0
1586465066,-101.074,-33.691,150.391,0.977,0,0
1586465066,-95.215,-28.32,220.215,0,0,0
1586465066,-78.613,-31.738,164.062,-39.551,0,0
1586465066,-71.289,-31.25,150.879,-52.246,0,0
1586465066,-79.59,-26.367,122.559,-0.488,0,0
1586465066,-75.684,-31.738,115.723,14.16,0,0
1586465066,-88.379,-28.809,168.945,-31.25,0,0
1586465066,-95.215,-31.738,179.688,-61.523,0,0
1586465066,-71.777,-38.574,219.238,-15.625,0,0
1586465066,-71.777,-35.156,155.273,16.113,0,0
1586465066,-84.473,-40.039,-166.992,-15.625,0,0
1586465066,-82.52,-35.156,71.289,-56.641,0,0
1586465066,-80.566,-26.855,235.352,-28.32,0,0
1586465066,-57.617,-26.367,192.871,41.016,0,0
1586465066,-46.875,-32.227,190.43,6.836,0,0
1586465066,-59.082,-38.086,202.637,-68.848,0,0
1586465066,-83.008,-37.598,231.934,-47.363,0,0
1586465066,-94.238,-39.551,172.852,2.93,0,0
1586465066,-83.008,-38.574,202.148,-1.953,0,0
1586465066,-61.523,-34.18,131.348,-39.062,0,0
1586465066,-71.777,-37.109,-100.586,-41.504,0,0
1586465066,-76.66,-33.203,126.953,-1.465,0,0
1586465066,-83.008,-33.691,302.246,17.578,0,0
1586465066,-86.914,-38.574,239.258,-11.719,0,0
1586465066,-66.406,-36.621,164.551,-37.109,0,0
1586465066,-62.5,-34.18,-4.395,1.953,0,0
1586465066,-74.219,-28.809,213.379,44.922,0,0
1586465066,-74.707,-31.738,291.992,-2.441,0,0
1586465066,-69.824,-38.086,192.383,-27.344,0,0
1586465066,-80.078,-34.18,139.648,3.418,0,0
1586465066,-67.871,-34.18,-46.875,28.32,0,0
1586465066,-71.777,-32.227,12.207,15.625,0,0
1586465066,-72.266,-28.809,196.289,-34.668,0,0
1586465066,-49.805,-30.762,192.871,-21.973,0,0
1586465066,-64.941,-30.762,184.57,17.09,0,0
1586465066,-60.059,-28.809,129.883,13.184,0,0
1586465066,-73.242,-30.273,180.176,-19.531,0,0
1586465066,-68.359,-32.715,217.773,-17.09,0,0
1586465066,-46.387,-36.621,206.543,14.648,0,0
1586465066,-88.379,-35.645,181.641,5.371,0,0
1586465066,-78.613,-33.691,96.191,-19.531,0,0
1586465066,-41.016,-30.273,74.219,-28.809,0,0
1586465066,-73.242,-31.25,107.422,0,0,0
1586465066,-75.195,-33.203,136.719,43.945,0,0
1586465066,-56.641,-35.156,224.609,32.227,0,0
1586465066,-64.941,-39.062,107.91,-22.461,0,0
1586465066,-82.52,-36.133,-85.449,-20.996,0,0
1586465066,-90.332,-30.762,178.711,23.926,0,0
1586465066,-90.82,-33.203,265.137,21.484,0,0
1586465066,-84.473,-35.156,160.156,-38.086,0,0
1586465066,-79.59,-36.621,151.367,-49.316,0,0
1586465066,-75.684,-35.645,227.539,-0.488,0,0
1586465066,-91.797,-33.691,255.859,22.461,0,0
1586465066,-87.402,-33.691,162.109,-14.16,0,0
1586465066,-71.777,-29.785,136.23,-48.34,0,0
1586465066,-72.754,-24.414,119.629,2.93,0,0
1586465066,-58.105,-28.809,-118.164,51.758,0,0
1586465066,-59.57,-26.855,83.496,-11.23,0,0
1586465066,-63.965,-27.344,235.352,-48.828,0,0
1586465066,-59.57,-27.832,202.637,-8.789,0,0
1586465066,-58.594,-28.809,200.195,27.832,0,0
1586465066,-54.199,-35.156,135.742,14.16,0,0
1586465066,-39.062,-34.18,177.734,-27.344,0,0
1586465066,-70.312,-31.25,211.426,-20.02,0,0
1586465066,-96.191,-25.879,230.469,3.418,0,0
1586465066,-83.008,-29.785,107.91,1.465,0,0
1586465066,-82.031,-39.551,-39.062,-34.18,0,0
1586465067,-63.477,-35.645,86.914,-33.691,0,0
1586465067,-68.848,-27.344,224.609,12.207,0,0
1586465067,-79.59,-23.926,218.75,28.809,0,0
