timestamps,TP9,AF7,AF8,TP10,Right AUX
1587068789.081,-35.645,-186.035,-255.371,-8.789,0.000
1587068789.085,-135.254,-61.523,-241.211,-48.340,0.000
1587068789.089,-74.707,-87.891,-209.961,-63.477,0.000
1587068789.092,36.621,343.750,111.328,-38.086,0.000
1587068789.096,0.977,458.496,133.789,-17.578,0.000
1587068789.100,-127.441,-41.016,-163.574,-44.434,0.000
1587068789.104,-105.957,-276.855,-347.656,-64.941,0.000
1587068789.108,21.973,80.078,-70.312,-42.969,0.000
1587068789.112,15.137,385.254,170.410,-27.832,0.000
1587068789.116,-111.816,-252.930,-259.766,-38.086,0.000
1587068789.120,-115.723,-857.422,-601.074,-42.480,0.000
1587068789.124,6.348,-394.043,-232.422,-46.387,0.000
1587068789.128,28.809,563.477,266.113,-49.805,0.000
1587068789.132,-74.707,320.801,26.367,-40.039,0.000
1587068789.135,-131.836,-422.852,-391.602,-48.828,0.000
1587068789.139,-25.879,-179.199,-160.156,-39.062,0.000
1587068789.143,46.387,374.512,218.750,-36.621,0.000
1587068789.147,-56.641,46.875,-108.887,-43.457,0.000
1587068789.151,-146.973,-437.500,-439.453,-47.363,0.000
1587068789.155,-68.848,-103.516,-145.508,-49.805,0.000
1587068789.159,31.738,458.008,163.574,-45.898,0.000
1587068789.163,-5.371,254.395,33.203,-19.531,0.000
1587068789.167,-100.586,-640.625,-463.379,-7.324,0.000
1587068789.171,-84.961,-469.238,-316.406,-31.250,0.000
1587068789.175,22.949,532.715,222.656,-39.551,0.000
1587068789.178,29.785,424.805,106.445,-21.484,0.000
1587068789.182,-101.562,-180.176,-254.883,-27.832,0.000
1587068789.186,-129.395,-305.664,-360.352,-50.781,0.000
1587068789.190,-6.348,182.617,-24.414,-50.293,0.000
1587068789.194,52.246,395.508,128.906,-19.043,0.000
1587068789.198,-55.176,11.230,-54.688,-19.531,0.000
1587068789.202,-135.742,-216.309,-259.277,-40.039,0.000
1587068789.206,-24.414,-0.977,-91.309,-29.297,0.000
1587068789.210,64.453,18.066,-40.039,-20.996,0.000
1587068789.214,-25.391,-217.773,-209.961,-2.930,0.000
1587068789.217,-126.953,-153.320,-183.105,-29.785,0.000
1587068789.221,-46.875,43.945,-78.613,-38.574,0.000
1587068789.225,70.801,181.641,94.238,-17.578,0.000
1587068789.229,22.949,265.137,116.211,-21.484,0.000
1587068789.233,-97.168,-33.203,-161.133,-20.020,0.000
1587068789.237,-84.473,-381.348,-389.160,-31.250,0.000
1587068789.241,34.180,-276.367,-269.043,-25.391,0.000
1587068789.245,41.504,-89.844,-100.586,-7.324,0.000
1587068789.249,-83.008,106.445,-43.945,-19.531,0.000
1587068789.253,-104.492,-130.859,-309.082,-29.297,0.000
1587068789.257,20.996,-50.293,-179.199,-11.719,0.000
1587068789.260,69.336,335.449,118.652,13.184,0.000
